"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "JSON with Comments", "JSON", "XML", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/Routes/scratch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 173, 4, 177
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/SignUp.tsx", "TypeScript JSX", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 112
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/api/eventsApi.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/api/photosApi.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/api/postsApi.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/api/profilesApi.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/api/schedulesApi.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/api/usersApi.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/default.css", "CSS", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 10, 44
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/index.css", "CSS", 0, 0, 537, 0, 0, 0, 0, 0, 0, 21, 107, 665
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/main.tsx", "TypeScript JSX", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 55
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/responsive.css", "CSS", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 7, 42
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/types.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/storyboard.excalidraw", "JSON", 0, 0, 0, 0, 115864, 0, 0, 0, 0, 0, 0, 115864
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/tsconfig.json", "JSON with Comments", 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 3, 26
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/tsconfig.node.json", "JSON", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/vite.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 1476, 126, 606, 21, 126079, 2, 19, 17, 18, 201, 330, 128895
